Match Number,Team,Player,Minute,Opponent,Date,Stadium,Group,Day,Time,Team_Role,Team_Score,Opponent_Score
4,United States,Timothy Weah,36,Wales,Nov/21,"Ahmad bin Ali Stadium, Al Rayyan",,Mon,22:00,Team 1,1,1
4,Wales,Gareth Bale,82,United States,Nov/21,"Ahmad bin Ali Stadium, Al Rayyan",B,Mon,22:00,Team 2,1,1
33,England,Rashford,50,Wales,Nov/29,"Ahmad bin Ali Stadium, Al Rayyan",B,Tue,22:00,Team 2,3,0
33,England,Foden,51,Wales,Nov/29,"Ahmad bin Ali Stadium, Al Rayyan",B,Tue,22:00,Team 2,3,0
33,England,Rashford,68,Wales,Nov/29,"Ahmad bin Ali Stadium, Al Rayyan",B,Tue,22:00,Team 2,3,0
34,United States,Pulisic,38,Iran,Nov/29,"Al Thumama Stadium, Doha",,Tue,22:00,Team 2,1,0
8,Argentina,Lionel Messi,10,Saudi Arabia,Nov/22,"Lusail Iconic Stadium, Lusail",C,Tue,13:00,Team 1,1,2
8,Argentina,Lionel Messi,10,Saudi Arabia,Nov/22,"Lusail Iconic Stadium, Lusail",C,Tue,13:00,Team 1,1,2
8,Saudi Arabia,Saleh Al Shehri,48,Argentina,Nov/22,"Lusail Iconic Stadium, Lusail",,Tue,13:00,Team 2,2,1
8,Saudi Arabia,Salem Al Dawsari,53,Argentina,Nov/22,"Lusail Iconic Stadium, Lusail",,Tue,13:00,Team 2,2,1
22,Poland,Piotr Zielinski,39,Saudi Arabia,Nov/26,"Education City Stadium, Al Rayyan",C,Sat,16:00,Team 1,2,0
22,Poland,Robert Lewandowski,82,Saudi Arabia,Nov/26,"Education City Stadium, Al Rayyan",C,Sat,16:00,Team 1,2,0
24,Argentina,Lionel Messi,64,Mexico,Nov/26,"Lusail Iconic Stadium, Lusail",C,Sat,22:00,Team 1,2,0
24,Argentina,Enzo Fernández,87,Mexico,Nov/26,"Lusail Iconic Stadium, Lusail",C,Sat,22:00,Team 1,2,0
39,Argentina,Mac Allister,46,Poland,Nov/30,"Stadium 974, Doha",C,Wed,22:00,Team 2,2,0
39,Argentina,Julián Álvarez,67,Poland,Nov/30,"Stadium 974, Doha",C,Wed,22:00,Team 2,2,0
40,Mexico,Henry Martín,47,Saudi Arabia,Nov/30,"Lusail Iconic Stadium, Lusail",C,Wed,22:00,Team 2,2,1
40,Mexico,Luis Chávez,52,Saudi Arabia,Nov/30,"Lusail Iconic Stadium, Lusail",C,Wed,22:00,Team 2,2,1
5,France,Adrien Rabiot,27,Australia,Nov/22,"Al Janoub Stadium, Al Wakrah",D,Tue,22:00,Team 1,4,1
5,France,Olivier Giroud,32,Australia,Nov/22,"Al Janoub Stadium, Al Wakrah",D,Tue,22:00,Team 1,4,1
5,France,' Kylian Mbappé,68,Australia,Nov/22,"Al Janoub Stadium, Al Wakrah",D,Tue,22:00,Team 1,4,1
5,Australia,Craig Goodwin,9,France,Nov/22,"Al Janoub Stadium, Al Wakrah",D,Tue,22:00,Team 2,1,4
21,Australia,Mitchell Duke,23,Tunisia,Nov/26,"Al Janoub Stadium, Al Wakrah",D,Sat,13:00,Team 2,1,0
23,France,Kylian Mbappé,61,Denmark,Nov/26,"Stadium 974, Doha",D,Sat,19:00,Team 1,2,1
23,Denmark,Andreas Christensen,68,France,Nov/26,"Stadium 974, Doha",D,Sat,19:00,Team 2,1,2
37,Australia,Mathew Leckie,60,Denmark,Nov/30,"Al Janoub Stadium, Al Wakrah",D,Wed,18:00,Team 1,1,0
38,Tunisia,Wahbi Khazri,58,France,Nov/30,"Education City Stadium, Al Rayyan",D,Wed,18:00,Team 1,1,0
11,Germany,Ilkay Gündogan,33,Japan,Nov/23,"Khalifa International Stadium, Al Rayyan",E,Wed,16:00,Team 1,1,2
11,Germany,Ilkay Gündogan,33,Japan,Nov/23,"Khalifa International Stadium, Al Rayyan",E,Wed,16:00,Team 1,1,2
11,Japan,Ritsu Doan,75,Germany,Nov/23,"Khalifa International Stadium, Al Rayyan",E,Wed,16:00,Team 2,2,1
11,Japan,Takuma Asano,83,Germany,Nov/23,"Khalifa International Stadium, Al Rayyan",E,Wed,16:00,Team 2,2,1
